Model,Accuracy test,Energy train,Energy test
Nearest Neighbors,0.9452,79.2805601657366,877.9691949183997
Nearest Neighbors,0.9452,78.97617612644036,877.5170930066379
Nearest Neighbors,0.9452,78.11561137319232,902.616130444524
Nearest Neighbors,0.9452,78.76374582658131,873.1919424599536
Nearest Neighbors,0.9452,85.89216967178582,907.2927972462041
Linear SVM,0.9435,27609.42570349987,6308.627248199561
Linear SVM,0.9435,27704.587008188624,6242.747113614198
Linear SVM,0.9435,27608.611448883905,6323.263304044818
Linear SVM,0.9435,27757.091658334957,6368.718210959985
Linear SVM,0.9435,27610.157313849224,6094.700406245302
Linear SVM,0.9435,27498.239704522715,5942.054076593095
Linear SVM,0.9435,27501.65954871307,6136.272699779149
Linear SVM,0.9435,27539.73757185911,6294.116743337012
Linear SVM,0.9435,27807.955821556956,6106.36734668493
Linear SVM,0.9435,27697.196723202484,6178.098297609984
Linear SVM,0.9435,27531.109403646402,6249.621518163224
Linear SVM,0.9435,27494.898626907165,6251.0363797821565
Linear SVM,0.9435,27543.776589611058,5920.434922586284
Linear SVM,0.9435,28458.74004427326,6489.379234728197
Linear SVM,0.9435,27615.303066242523,6050.489938571463
Linear SVM,0.9435,27786.021529080645,6375.529128630797
Linear SVM,0.9435,27711.47432166363,6164.490994797007
Linear SVM,0.9435,27970.90451612831,6370.421500766197
Linear SVM,0.9435,27498.682307340227,6531.040984312865
Linear SVM,0.9435,27715.55262383085,6480.597471623347
Linear SVM,0.9435,27668.488832475497,6112.725249847266
Linear SVM,0.9435,27581.33568800922,6338.444393310754
Linear SVM,0.9435,29494.075623354165,6244.129576842259
Linear SVM,0.9435,27797.0190721507,6156.789853860591
Linear SVM,0.9435,27780.71548502955,6227.633875182813
Linear SVM,0.9435,27961.578345539358,6299.0962202964665
Linear SVM,0.9435,27518.75745043622,6257.163592874637
Linear SVM,0.9435,27650.805272091475,6049.733863972959
Linear SVM,0.9435,27796.78486807637,6405.943186643457
Linear SVM,0.9435,27559.54291074048,6454.647837822089
