shape,size,depth,hardware_type,Energy test,Accuracy test,Loss test
exponential,4194304.0,12.0,cpu1,3382169.75,0.9844286,0.099035114
exponential,4194304.0,12.0,gpu1,3220275.0,0.9844286,0.099035114
exponential,4194304.0,14.0,cpu1,4205375.0,0.98414284,0.10798898
exponential,4194304.0,14.0,gpu2,3232589.0,0.98414284,0.10798898
exponential,4194304.0,16.0,cpu1,3978855.25,0.98407143,0.11650704
exponential,4194304.0,16.0,gpu1,3323997.25,0.98407143,0.11650704
exponential,4194304.0,18.0,cpu1,7724227.0,0.98414284,0.12237294
exponential,4194304.0,18.0,gpu2,3500165.25,0.98414284,0.12237294
exponential,8388608.0,3.0,cpu1,3262598.25,0.9842857,0.06375361
exponential,8388608.0,3.0,gpu1,3917955.75,0.9842857,0.06375361
exponential,8388608.0,4.0,cpu1,3485337.5,0.98557144,0.06442926
exponential,8388608.0,4.0,gpu2,3924859.0,0.98557144,0.06442926
exponential,8388608.0,5.0,cpu1,3499706.5,0.98635715,0.0659416
exponential,8388608.0,5.0,gpu2,3928124.5,0.98635715,0.0659416
exponential,8388608.0,7.0,cpu1,4151647.5,0.98553574,0.074665606
exponential,8388608.0,7.0,gpu2,4259720.5,0.98553574,0.074665606
exponential,8388608.0,8.0,cpu1,4375991.5,0.9853214,0.077310905
exponential,8388608.0,8.0,gpu2,4048676.0,0.9853214,0.077310905
exponential,8388608.0,9.0,cpu1,4338725.0,0.98564285,0.0847322
exponential,8388608.0,9.0,gpu1,4176055.25,0.98564285,0.0847322
exponential,8388608.0,10.0,cpu1,4962641.5,0.9855,0.08710171
exponential,8388608.0,10.0,gpu1,4251074.0,0.9855,0.08710171
exponential,8388608.0,12.0,cpu1,4894792.0,0.9854286,0.09265258
exponential,8388608.0,12.0,gpu2,4310333.5,0.9854286,0.09265258
exponential,8388608.0,14.0,cpu1,5518097.0,0.9852143,0.100922816
exponential,8388608.0,14.0,gpu1,4209935.0,0.9852143,0.100922816
exponential,8388608.0,16.0,cpu2,6424913.5,0.98478574,0.10525403
exponential,8388608.0,16.0,gpu1,4382967.0,0.98478574,0.10525403
exponential,8388608.0,18.0,cpu1,6075162.5,0.98471427,0.11309316
exponential,8388608.0,18.0,gpu1,4328627.5,0.98471427,0.11309316
exponential,8388608.0,20.0,cpu1,5918616.0,0.9850714,0.120090954
exponential,16777216.0,3.0,cpu1,5061027.5,0.98485714,0.0638936
exponential,16777216.0,3.0,gpu2,5805805.5,0.98485714,0.0638936
exponential,16777216.0,4.0,cpu1,6082664.5,0.98639286,0.06477295
exponential,16777216.0,4.0,gpu1,5962760.5,0.98639286,0.06477295
exponential,16777216.0,5.0,cpu1,6083998.5,0.98625,0.066251665
exponential,16777216.0,7.0,cpu1,8912124.0,0.9857857,0.075033106
exponential,16777216.0,7.0,gpu2,6043039.0,0.9857857,0.075033106
exponential,16777216.0,8.0,cpu1,7503342.5,0.98660713,0.0754726
exponential,16777216.0,8.0,gpu1,6208275.5,0.98660713,0.0754726
exponential,16777216.0,9.0,cpu1,7009662.0,0.9860714,0.08013489
exponential,16777216.0,9.0,gpu2,6170179.5,0.9860714,0.08013489
exponential,16777216.0,10.0,cpu1,7000259.5,0.9861429,0.083980516
exponential,16777216.0,10.0,gpu1,6271247.5,0.9861429,0.083980516
exponential,16777216.0,12.0,cpu1,7493167.0,0.9855714,0.0931063
exponential,16777216.0,12.0,gpu1,6345366.0,0.9855714,0.0931063
exponential,16777216.0,14.0,cpu1,7691079.0,0.9861429,0.09550795
exponential,16777216.0,14.0,gpu1,6318983.0,0.9861429,0.09550795
exponential,16777216.0,16.0,cpu1,8005344.0,0.9862143,0.10076814
exponential,16777216.0,16.0,gpu1,6468074.5,0.9862143,0.10076814
