Model,Pretrained,Accuracy train,Accuracy val,Accuracy test,Loss train,Loss val,Loss test,Energy train,Energy test
SqueezeNet V1,True,0.8865000000000001,0.64635,0.5962000000000001,0.3517201355139414,1.6397119232177737,1.8469803684234616,325452.34524329746,991.1894309031601
EfficientNet B0,False,0.8498333333333333,0.39765,0.3573,0.5216499174435933,3.144717009353638,3.480337060546875,566694.1134053741,1303.26298356708
ResNet18,False,0.9989,0.4035,0.379,0.0102140468974908,2.881900680541992,3.0395896087646483,248378.50482612013,783.31114940328
MobileNet V2,False,0.9316666666666668,0.38785,0.3598,0.2887908317248026,2.98020951461792,3.153009971237182,493803.95901230234,1065.2529946985999
EfficientNet B0,False,0.8543666666666667,0.40355,0.3662,0.5064754770278931,3.1250974906921387,3.3809299232482912,565886.3664299947,1325.08641982572
ShuffleNet V2,False,0.5378333333333334,0.2868,0.2665,1.6802467199961344,3.0484285392761232,3.155967314910889,142845.2743720284,351.3320025613858
SqueezeNet V1,False,0.6091,0.4329,0.4079,1.3989900625228882,2.3660820106506346,2.496002749633789,793350.6569563198,997.90324585524
ResNet18,True,0.9996333333333334,0.72745,0.6871,0.0025031408331046,1.085749835205078,1.2573755723953246,256384.9434724902,779.3525725383599
MobileNet V2,True,0.9980666666666668,0.7232500000000001,0.6497,0.0138085684041182,1.2576109214782716,1.6337042198181153,344335.35277907713,1062.60441432156
EfficientNet B0,True,0.9898666666666668,0.82055,0.7946000000000001,0.0356590089778105,0.7994409226417541,0.9402294317245484,450230.5783669474,1326.3821254299598
ShuffleNet V2,True,0.8832333333333334,0.6101500000000001,0.5582,0.4120513504346211,1.521559802055359,1.7656303485870362,120074.69558994733,352.2939052291619
SqueezeNet V1,True,0.8821333333333333,0.64775,0.6079,0.3753706775347392,1.4918965511322022,1.6783239484786987,315914.7830046426,989.47959451308
ShuffleNet V2,False,0.5301,0.28885,0.2593,1.7060972730000814,3.0427408813476564,3.222916423797608,135850.25418741468,350.9277189316723
ResNet18,False,0.9991,0.4181,0.3889,0.0100833372225364,2.7889292934417726,2.999660010528564,248310.66250739197,785.9275653265199
